"","year","happy","commute","realrinc","educ","race","gender"
"625",1986,1,45,14015,17,"White","Female"
"626",1986,1,10,3567,16,"White","Male"
"627",1986,1,0,101376,14,"White","Male"
"628",1986,1,75,33125,13,"White","Male"
"629",1986,1,40,24207,17,"White","Male"
"630",1986,1,70,33125,17,"White","Male"
"631",1986,1,60,38222,14,"White","Male"
"632",1986,1,30,2038,9,"White","Male"
"633",1986,1,10,28029,12,"White","Male"
"634",1986,1,5,101376,20,"White","Male"
"635",1986,1,10,2038,17,"White","Male"
"636",1986,1,97,14015,10,"White","Female"
"637",1986,0,15,510,10,"White","Male"
"638",1986,1,15,7644,11,"White","Female"
"639",1986,1,10,9173,12,"White","Male"
"640",1986,1,55,24207,18,"White","Male"
"641",1986,1,10,9173,6,"White","Male"
"642",1986,1,20,33125,12,"White","Male"
"643",1986,1,10,33125,12,"White","Male"
"644",1986,1,0,5606,12,"White","Male"
"645",1986,1,12,33125,12,"White","Male"
"646",1986,1,6,24207,11,"White","Male"
"647",1986,1,8,21659,11,"White","Male"
"648",1986,1,20,21659,14,"White","Female"
"649",1986,1,0,101376,16,"White","Male"
"650",1986,1,0,6625,16,"White","Male"
"651",1986,1,15,45866,16,"White","Male"
"652",1986,1,15,11466,15,"White","Male"
"653",1986,1,25,21659,14,"White","Male"
"654",1986,1,20,19111,17,"White","Female"
"655",1986,1,8,21659,15,"White","Male"
"656",1986,1,30,5606,11,"White","Male"
"657",1986,1,12,14015,12,"White","Female"
"658",1986,1,15,2038,12,"White","Male"
"659",1986,1,30,33125,14,"White","Male"
"660",1986,1,45,14015,13,"White","Male"
"661",1986,1,10,38222,15,"White","Male"
"662",1986,1,25,28029,8,"White","Male"
"663",1986,1,0,6625,12,"White","Female"
"664",1986,1,15,7644,11,"White","Male"
"665",1986,1,30,14015,16,"White","Male"
"666",1986,1,30,24207,13,"White","Female"
"667",1986,1,10,19111,17,"White","Male"
"668",1986,0,12,510,13,"White","Male"
"669",1986,1,50,19111,12,"White","Male"
"670",1986,1,30,14015,10,"Non White","Male"
"671",1986,1,3,33125,15,"White","Male"
"672",1986,1,10,38222,20,"White","Male"
"673",1986,1,10,14015,16,"White","Male"
"674",1986,1,20,14015,12,"White","Male"
"675",1986,0,0,33125,16,"White","Male"
"676",1986,1,15,16563,12,"White","Male"
"677",1986,1,10,7644,12,"White","Female"
"678",1986,1,0,24207,16,"Non White","Male"
"679",1986,1,1,45866,14,"White","Male"
"680",1986,1,5,24207,16,"White","Male"
"681",1986,1,5,2038,12,"White","Female"
"682",1986,1,8,510,9,"White","Male"
"683",1986,1,40,38222,13,"White","Male"
"684",1986,1,20,14015,12,"White","Male"
"685",1986,1,30,14015,10,"White","Male"
"686",1986,1,11,11466,12,"White","Male"
"687",1986,1,10,11466,12,"White","Female"
"688",1986,1,1,21659,8,"White","Male"
"689",1986,1,97,38222,12,"White","Male"
"690",1986,1,15,9173,12,"White","Male"
"691",1986,1,30,510,12,"White","Male"
"692",1986,1,30,11466,13,"White","Male"
"693",1986,1,15,9173,11,"White","Male"
"694",1986,1,10,14015,12,"White","Male"
"695",1986,1,30,33125,13,"White","Male"
"696",1986,1,5,38222,16,"White","Male"
"697",1986,1,30,45866,20,"White","Male"
"698",1986,1,45,14015,12,"White","Male"
"699",1986,1,35,21659,12,"White","Male"
"700",1986,1,45,28029,16,"White","Male"
"701",1986,1,20,14015,12,"White","Male"
"702",1986,1,10,5606,12,"White","Male"
"703",1986,1,10,21659,9,"White","Female"
"704",1986,1,10,33125,17,"White","Male"
"705",1986,1,90,19111,12,"White","Male"
"706",1986,1,20,9173,12,"White","Male"
"707",1986,1,10,4587,12,"White","Male"
"708",1986,1,10,16563,8,"White","Female"
"709",1986,1,30,24207,8,"White","Male"
"710",1986,1,3,9173,8,"White","Female"
"711",1986,1,30,3567,8,"White","Male"
"712",1986,1,20,56058,12,"White","Male"
"713",1986,1,0,11466,12,"White","Male"
"714",1986,1,15,14015,12,"White","Male"
"715",1986,1,2,24207,17,"White","Male"
"716",1986,1,20,14015,15,"White","Male"
"717",1986,1,15,38222,14,"White","Male"
"718",1986,1,0,3567,17,"White","Male"
"719",1986,1,14,16563,14,"White","Male"
"720",1986,1,7,24207,11,"White","Male"
"721",1986,1,9,3567,12,"White","Male"
"722",1986,1,20,5606,14,"White","Female"
"723",1986,1,5,24207,12,"White","Male"
"724",1986,1,30,4587,13,"White","Male"
"725",1986,1,0,11466,6,"White","Male"
"726",1986,1,1,19111,13,"White","Male"
"727",1986,1,5,14015,14,"White","Male"
"728",1986,1,5,16563,13,"White","Female"
"729",1986,1,7,4587,18,"White","Female"
"730",1986,1,10,14015,14,"White","Female"
"731",1986,1,15,16563,18,"White","Male"
"732",1986,1,10,5606,14,"White","Male"
"733",1986,1,0,510,12,"White","Male"
"734",1986,1,3,19111,12,"White","Male"
"735",1986,1,30,19111,14,"White","Male"
"736",1986,1,20,2038,12,"White","Female"
"737",1986,1,5,14015,13,"White","Male"
"738",1986,1,2,16563,19,"White","Male"
"739",1986,1,2,38222,12,"White","Male"
"740",1986,1,25,3567,13,"White","Male"
"741",1986,1,3,11466,16,"White","Male"
"742",1986,1,20,11466,12,"White","Male"
"743",1986,1,5,28029,16,"White","Male"
"744",1986,1,7,38222,13,"White","Male"
"745",1986,1,12,9173,12,"White","Male"
"746",1986,1,50,33125,12,"White","Male"
"747",1986,1,2,28029,12,"White","Male"
"748",1986,1,0,24207,12,"White","Male"
"749",1986,1,2,4587,13,"White","Male"
"750",1986,1,20,6625,12,"White","Male"
"751",1986,1,4,2038,16,"White","Male"
"752",1986,1,25,7644,13,"White","Male"
"753",1986,1,17,16563,12,"White","Male"
"754",1986,1,25,38222,16,"White","Male"
"755",1986,1,10,33125,17,"White","Female"
"756",1986,1,15,6625,15,"White","Male"
"757",1986,1,15,19111,18,"White","Male"
"758",1986,1,15,38222,14,"White","Male"
"759",1986,1,35,16563,6,"White","Male"
"760",1986,1,10,3567,13,"White","Male"
"761",1986,1,20,11466,9,"White","Male"
"762",1986,1,12,3567,14,"White","Male"
"763",1986,1,25,510,13,"White","Male"
"764",1986,1,40,6625,12,"White","Male"
"765",1986,1,0,510,4,"Non White","Male"
"766",1986,1,10,510,12,"White","Male"
"767",1986,1,45,16563,14,"White","Male"
"768",1986,1,0,19111,16,"White","Male"
"769",1986,1,30,11466,14,"Non White","Male"
"770",1986,1,60,510,11,"White","Male"
"771",1986,0,15,5606,12,"White","Female"
"772",1986,1,60,510,12,"Non White","Male"
"773",1986,1,15,4587,8,"Non White","Female"
"774",1986,1,5,16563,16,"Non White","Male"
"775",1986,0,20,14015,16,"White","Male"
"776",1986,1,45,9173,14,"White","Male"
"777",1986,1,45,28029,13,"White","Male"
"778",1986,1,10,9173,0,"Non White","Male"
"779",1986,1,10,4587,14,"Non White","Female"
"780",1986,0,7,5606,13,"White","Male"
"781",1986,1,10,9173,14,"Non White","Male"
"782",1986,0,40,3567,12,"White","Female"
"783",1986,1,30,21659,19,"White","Male"
"784",1986,1,40,24207,12,"White","Female"
"785",1986,1,15,510,12,"White","Male"
"786",1986,1,3,3567,10,"White","Male"
"787",1986,1,10,3567,12,"White","Male"
"788",1986,1,5,6625,12,"White","Male"
"789",1986,1,5,16563,16,"White","Male"
"790",1986,1,0,14015,12,"White","Male"
"791",1986,1,10,4587,11,"White","Female"
"792",1986,1,2,24207,13,"White","Male"
"793",1986,1,5,510,12,"White","Male"
"794",1986,1,15,16563,12,"Non White","Male"
"795",1986,1,1,11466,16,"White","Male"
"796",1986,1,5,7644,12,"White","Female"
"797",1986,1,5,14015,6,"White","Male"
"798",1986,0,10,510,12,"Non White","Female"
"799",1986,1,2,4587,10,"Non White","Male"
"800",1986,1,15,28029,14,"White","Male"
"801",1986,1,20,11466,8,"White","Male"
"802",1986,1,5,6625,12,"White","Male"
"803",1986,1,5,101376,12,"White","Male"
"804",1986,1,1,19111,12,"White","Female"
"805",1986,1,50,16563,12,"Non White","Male"
"806",1986,1,15,16563,14,"White","Male"
"807",1986,1,0,3567,12,"Non White","Female"
"808",1986,1,10,14015,11,"White","Male"
"809",1986,1,5,11466,3,"White","Male"
"810",1986,1,10,21659,6,"White","Male"
"811",1986,1,1,14015,12,"Non White","Male"
"812",1986,1,5,9173,8,"White","Female"
"813",1986,1,24,101376,16,"White","Male"
"814",1986,1,30,4587,7,"White","Male"
"815",1986,1,30,9173,16,"White","Male"
"816",1986,1,45,11466,12,"White","Male"
"817",1986,1,5,11466,8,"White","Male"
"818",1986,1,5,11466,14,"White","Male"
"819",1986,1,5,21659,10,"White","Male"
"820",1986,1,30,5606,8,"White","Female"
"821",1986,1,15,510,9,"White","Female"
"822",1986,1,2,24207,16,"White","Male"
"823",1986,1,5,510,10,"Non White","Male"
"824",1986,1,3,21659,13,"White","Male"
"825",1986,1,15,19111,11,"Non White","Male"
"826",1986,1,45,7644,16,"White","Female"
"827",1986,1,7,11466,16,"White","Female"
"828",1986,1,15,3567,10,"White","Female"
"829",1986,1,5,11466,11,"White","Male"
"830",1986,0,3,16563,12,"White","Male"
"831",1986,1,5,4587,12,"White","Female"
"832",1986,1,8,4587,12,"White","Male"
"833",1986,1,15,19111,20,"Non White","Male"
"834",1986,1,0,2038,9,"White","Male"
"835",1986,1,20,9173,12,"Non White","Male"
"836",1986,1,60,11466,7,"Non White","Male"
"837",1986,1,5,19111,7,"White","Male"
"838",1986,1,7,14015,12,"White","Male"
"839",1986,1,20,11466,12,"Non White","Male"
"840",1986,1,2,28029,12,"White","Male"
"841",1986,1,0,510,10,"White","Male"
"842",1986,1,5,21659,12,"White","Female"
"843",1986,1,15,3567,14,"White","Female"
"844",1986,1,45,45866,12,"White","Male"
"845",1986,1,30,2038,10,"White","Male"
"846",1986,1,15,56058,14,"White","Male"
"847",1986,0,15,16563,18,"White","Female"
"848",1986,1,10,19111,18,"White","Male"
"849",1986,1,32,24207,13,"White","Female"
"850",1986,1,5,38222,12,"White","Male"
"851",1986,1,40,4587,10,"White","Female"
"852",1986,1,15,21659,12,"White","Male"
"853",1986,1,5,9173,13,"White","Female"
"854",1986,0,20,2038,8,"White","Female"
"855",1986,1,10,9173,11,"Non White","Male"
"856",1986,1,20,11466,5,"White","Male"
"857",1986,1,10,510,13,"Non White","Female"
"858",1986,1,10,4587,12,"Non White","Male"
"859",1986,1,5,21659,7,"Non White","Male"
"860",1986,1,10,2038,14,"White","Male"
"861",1986,1,15,14015,11,"White","Female"
"862",1986,1,25,24207,7,"White","Male"
"863",1986,1,5,510,15,"White","Female"
"864",1986,1,2,11466,10,"White","Male"
"865",1986,0,5,19111,12,"White","Male"
"866",1986,1,45,3567,9,"White","Male"
"867",1986,1,15,38222,12,"White","Male"
"868",1986,1,5,7644,14,"White","Male"
"869",1986,1,10,21659,17,"White","Male"
"870",1986,1,5,7644,13,"White","Male"
"871",1986,1,10,19111,14,"White","Male"
"872",1986,0,10,45866,8,"White","Male"
"873",1986,1,10,38222,16,"White","Male"
"874",1986,1,15,14015,12,"White","Male"
