"","year","happy","commute","realrinc","educ","race","gender"
"143",1986,1,60,33125,18,"Non White","Female"
"144",1986,1,15,33125,12,"Non White","Male"
"145",1986,0,60,4587,13,"Non White","Male"
"146",1986,1,40,21659,12,"White","Male"
"147",1986,1,25,56058,16,"Non White","Male"
"148",1986,1,40,11466,18,"Non White","Male"
"149",1986,1,20,16563,12,"White","Female"
"150",1986,1,20,19111,17,"White","Male"
"151",1986,0,40,7644,13,"White","Female"
"152",1986,1,30,14015,11,"White","Female"
"153",1986,1,0,101376,17,"White","Male"
"154",1986,1,28,101376,20,"White","Male"
"155",1986,1,5,21659,12,"White","Male"
"156",1986,1,10,16563,12,"White","Male"
"157",1986,0,20,7644,12,"White","Female"
"158",1986,1,8,16563,11,"White","Male"
"159",1986,1,10,14015,12,"White","Male"
"160",1986,1,20,28029,10,"White","Male"
"161",1986,1,30,28029,12,"White","Male"
"162",1986,1,60,101376,19,"White","Male"
"163",1986,1,2,11466,14,"White","Male"
"164",1986,0,30,5606,16,"White","Male"
"165",1986,0,12,33125,16,"White","Male"
"166",1986,1,30,45866,18,"White","Male"
"167",1986,1,30,45866,15,"White","Male"
"168",1986,1,25,21659,20,"Non White","Male"
"169",1986,1,30,101376,16,"White","Female"
"170",1986,0,5,16563,12,"White","Male"
"171",1986,1,15,16563,10,"White","Male"
"172",1986,1,30,19111,12,"White","Female"
"173",1986,1,10,14015,12,"White","Female"
"174",1986,1,20,28029,13,"White","Male"
"175",1986,1,25,11466,16,"White","Male"
"176",1986,1,70,33125,18,"White","Male"
"177",1986,1,45,11466,12,"White","Male"
"178",1986,0,30,5606,12,"Non White","Male"
"179",1986,1,30,11466,8,"Non White","Male"
"180",1986,1,15,24207,7,"Non White","Male"
"181",1986,1,60,4587,12,"Non White","Female"
"182",1986,0,5,2038,12,"White","Male"
"183",1986,1,0,16563,12,"White","Male"
"184",1986,1,10,24207,12,"White","Male"
"185",1986,1,15,19111,10,"Non White","Male"
"186",1986,1,10,33125,15,"White","Male"
"187",1986,0,97,9173,11,"White","Male"
